model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),30,540,2773,21.704613211051903,16.32204870312729,4
lstm (glucose only),30,544,2639,17.997708414670683,12.83196349033762,4
lstm (glucose only),30,552,2234,16.28958783471939,12.209250283646819,4
lstm (glucose only),30,559,2344,18.733121171213117,13.104273262284314,4
lstm (glucose only),30,563,2536,17.51606560466618,12.578690267135668,4
lstm (glucose only),30,567,2200,21.060669743133648,14.85954020760276,4
lstm (glucose only),30,570,2612,16.747351979911027,11.772029187376248,4
lstm (glucose only),30,575,2456,21.301514693323128,14.21724388420776,4
lstm (glucose only),30,584,2435,21.890834893444715,15.484410480601097,4
lstm (glucose only),30,588,2740,18.402592729834566,13.221074907623068,4
lstm (glucose only),30,591,2709,20.62554554533342,14.892447146686429,4
lstm (glucose only),30,596,2624,16.98751440352121,12.10166355749456,4
