model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),30,540,2773,21.415979215112895,15.931387911279666,3
lstm (glucose only),30,544,2639,18.003789856683547,12.875243883324465,3
lstm (glucose only),30,552,2234,16.244187782578575,12.19356925848241,3
lstm (glucose only),30,559,2344,18.42938752859658,12.837270508854056,3
lstm (glucose only),30,563,2536,17.667459223234534,12.684556124714272,3
lstm (glucose only),30,567,2200,21.300677974304403,14.93070559761741,3
lstm (glucose only),30,570,2612,15.840057640947334,10.896668613778504,3
lstm (glucose only),30,575,2456,21.538960615058233,14.277313940688142,3
lstm (glucose only),30,584,2435,21.919272223153644,15.44053618570128,3
lstm (glucose only),30,588,2740,18.339202815209593,13.197802219251647,3
lstm (glucose only),30,591,2709,20.748423974545947,15.026839128496375,3
lstm (glucose only),30,596,2624,17.050740255440004,12.228283012785562,3
