model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),30,540,2773,21.391519522412437,15.85593258031989,1
lstm (glucose only),30,544,2639,17.91471584254324,12.58343988948358,1
lstm (glucose only),30,552,2234,16.151164215328674,11.884853520132967,1
lstm (glucose only),30,559,2344,18.45062602366048,12.672888833915007,1
lstm (glucose only),30,563,2536,17.131888771952774,12.375339676529075,1
lstm (glucose only),30,567,2200,21.245324700433336,14.718027624650436,1
lstm (glucose only),30,570,2612,16.29720719689056,11.268614016849815,1
lstm (glucose only),30,575,2456,21.052029822509425,13.866372176800954,1
lstm (glucose only),30,584,2435,21.53747316213644,15.323075305852557,1
lstm (glucose only),30,588,2740,18.328455992965324,13.048152895739479,1
lstm (glucose only),30,591,2709,20.642603157750695,14.81644295783622,1
lstm (glucose only),30,596,2624,17.03045937402833,11.956813893667082,1
