model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),60,540,2753,38.69258288336222,29.76009346726068,4
lstm (glucose only),60,544,2615,31.224773377914303,23.447598336622775,4
lstm (glucose only),60,552,2195,29.12554297720438,22.385600617914918,4
lstm (glucose only),60,559,2288,32.871214754473314,23.807527288690313,4
lstm (glucose only),60,563,2524,28.338645850281985,21.121348739237114,4
lstm (glucose only),60,567,2143,37.55323670344444,27.72293251026917,4
lstm (glucose only),60,570,2587,28.95931908367769,21.244287417853805,4
lstm (glucose only),60,575,2438,33.80352341834728,24.926913980385432,4
lstm (glucose only),60,584,2408,37.22827137743712,27.04675068649343,4
lstm (glucose only),60,588,2722,31.096190264755815,22.30235189063684,4
lstm (glucose only),60,591,2691,32.79137124337516,25.01243419498371,4
lstm (glucose only),60,596,2597,28.798996235189833,21.407980803209494,4
