model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose + insulin/carbs),60,540,2753,37.54160070249736,28.492958063305053,1
lstm (glucose + insulin/carbs),60,544,2615,28.698239978804413,21.668620945071627,1
lstm (glucose + insulin/carbs),60,552,2195,28.409359547314182,22.238794765602755,1
lstm (glucose + insulin/carbs),60,559,2288,32.49018910024518,23.945066078559503,1
lstm (glucose + insulin/carbs),60,563,2524,29.425384306382565,21.22530218085094,1
lstm (glucose + insulin/carbs),60,567,2143,35.63175541124445,26.186814750069722,1
lstm (glucose + insulin/carbs),60,570,2587,27.8037493123383,20.03750887274696,1
lstm (glucose + insulin/carbs),60,575,2438,33.48442044381452,24.141873804832503,1
lstm (glucose + insulin/carbs),60,584,2408,35.020490373888315,25.63395909217505,1
lstm (glucose + insulin/carbs),60,588,2722,28.673429856446724,21.141337605629836,1
lstm (glucose + insulin/carbs),60,591,2691,33.120222791953424,25.014520764926782,1
lstm (glucose + insulin/carbs),60,596,2597,27.85749934555625,20.351903419656207,1
