model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),60,540,2753,38.9351834104644,29.896250834605326,42
lstm (glucose only),60,544,2615,31.665071767612762,23.817013284307592,42
lstm (glucose only),60,552,2195,28.83807621385034,22.021611088989538,42
lstm (glucose only),60,559,2288,32.84925455916201,23.867203539068047,42
lstm (glucose only),60,563,2524,28.248511378976705,21.117655686077715,42
lstm (glucose only),60,567,2143,37.023060298229204,27.444544352052148,42
lstm (glucose only),60,570,2587,29.692205573475103,21.93135681270309,42
lstm (glucose only),60,575,2438,33.54362899103379,24.816347934262883,42
lstm (glucose only),60,584,2408,37.10662133038524,26.958680339825907,42
lstm (glucose only),60,588,2722,31.048156110977565,22.388145371100027,42
lstm (glucose only),60,591,2691,32.33901807492729,24.70421846716522,42
lstm (glucose only),60,596,2597,28.737140403459076,21.22077178661301,42
