model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),60,540,2753,39.081856704490235,29.757271156629734,1
lstm (glucose only),60,544,2615,31.849911830168168,23.784703679567997,1
lstm (glucose only),60,552,2195,28.619839534138197,21.64479062508342,1
lstm (glucose only),60,559,2288,33.01370098723285,23.795056619844235,1
lstm (glucose only),60,563,2524,29.177825859047147,21.517721278920604,1
lstm (glucose only),60,567,2143,37.29231235110897,27.332087738848823,1
lstm (glucose only),60,570,2587,29.434863473503277,21.42708154124646,1
lstm (glucose only),60,575,2438,33.5451058967715,24.56320241125418,1
lstm (glucose only),60,584,2408,37.216149905654895,26.93927730040693,1
lstm (glucose only),60,588,2722,31.035811739508674,22.28953691268125,1
lstm (glucose only),60,591,2691,32.137160321031864,24.4061304614784,1
lstm (glucose only),60,596,2597,28.761207785279996,21.087983540860698,1
