model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),60,540,2753,39.07109314367067,30.156518456029147,0
lstm (glucose only),60,544,2615,31.300303540697833,23.85651271666897,0
lstm (glucose only),60,552,2195,29.50214698516013,22.968884861279186,0
lstm (glucose only),60,559,2288,32.801255181656366,23.91492131706718,0
lstm (glucose only),60,563,2524,28.09536824736397,21.186149355348807,0
lstm (glucose only),60,567,2143,37.84456429786554,28.159990375641623,0
lstm (glucose only),60,570,2587,28.562108094394453,20.946454995195516,0
lstm (glucose only),60,575,2438,33.85601819165098,25.40774122430615,0
lstm (glucose only),60,584,2408,36.9256863017691,26.835801232296763,0
lstm (glucose only),60,588,2722,30.774388932074228,22.320737383279795,0
lstm (glucose only),60,591,2691,32.9804096389833,25.375023758575313,0
lstm (glucose only),60,596,2597,28.957951956168593,21.702713823520455,0
