model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose only),30,540,2773,21.239838365563536,15.727061178466709,0
lstm (glucose only),30,544,2639,18.00687606955403,12.677114439715305,0
lstm (glucose only),30,552,2234,16.095694027867225,11.997171581271726,0
lstm (glucose only),30,559,2344,18.53780187514426,12.770680108574878,0
lstm (glucose only),30,563,2536,17.997243370496584,12.748585731073133,0
lstm (glucose only),30,567,2200,20.949049716128595,14.529854881980203,0
lstm (glucose only),30,570,2612,16.27756134224768,11.257568721566777,0
lstm (glucose only),30,575,2456,21.232861863770854,13.944268394370809,0
lstm (glucose only),30,584,2435,21.90402761763735,15.455908250123324,0
lstm (glucose only),30,588,2740,18.61253906267284,13.244576101929601,0
lstm (glucose only),30,591,2709,20.599862975141566,14.861205116854949,0
lstm (glucose only),30,596,2624,16.966564538006793,11.961123297854167,0
