model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose + insulin/carbs),30,540,2773,20.461848760167815,15.20162937179439,2
lstm (glucose + insulin/carbs),30,544,2639,16.97079115055283,11.86618742485668,2
lstm (glucose + insulin/carbs),30,552,2234,15.66571466648067,11.625155740053183,2
lstm (glucose + insulin/carbs),30,559,2344,18.279152229384252,12.628336030875456,2
lstm (glucose + insulin/carbs),30,563,2536,17.856858634100377,12.564158716412372,2
lstm (glucose + insulin/carbs),30,567,2200,20.42673320949098,13.934440553838556,2
lstm (glucose + insulin/carbs),30,570,2612,16.126266611969307,11.253674248641337,2
lstm (glucose + insulin/carbs),30,575,2456,21.346749630038,13.508985699582178,2
lstm (glucose + insulin/carbs),30,584,2435,21.638751145079382,15.260471091769803,2
lstm (glucose + insulin/carbs),30,588,2740,17.22074419452944,12.459367696386185,2
lstm (glucose + insulin/carbs),30,591,2709,20.379236985231113,14.622552997734152,2
lstm (glucose + insulin/carbs),30,596,2624,16.03832351497287,11.347458240462512,2
