model,horizon_min,patient,n_windows,rmse,mae,seed
lstm (glucose + insulin/carbs),60,540,2753,37.9595834208491,28.535385902257907,0
lstm (glucose + insulin/carbs),60,544,2615,28.836157863956362,21.94480420727119,0
lstm (glucose + insulin/carbs),60,552,2195,28.610159552630336,22.50162203708379,0
lstm (glucose + insulin/carbs),60,559,2288,32.62363338234079,23.982865080133184,0
lstm (glucose + insulin/carbs),60,563,2524,29.633558298103903,21.495894092009674,0
lstm (glucose + insulin/carbs),60,567,2143,35.73739998094844,26.42909812126213,0
lstm (glucose + insulin/carbs),60,570,2587,29.189549494894354,21.84313383865504,0
lstm (glucose + insulin/carbs),60,575,2438,33.966229935438825,24.561825768687473,0
lstm (glucose + insulin/carbs),60,584,2408,35.90499831682949,26.435246372539737,0
lstm (glucose + insulin/carbs),60,588,2722,28.944302448933996,21.41162214202096,0
lstm (glucose + insulin/carbs),60,591,2691,32.897825404866246,25.176722886260226,0
lstm (glucose + insulin/carbs),60,596,2597,27.661492433637882,20.055009033297132,0
